TargetAreaPath,BugID,MarketLanguage,OriginalAreaPath,Branch,BuildNum,OpenedBy,OpenedDate,BinaryName,Uri,AppDisplay,AppName,Resolution,OriginalLanguageComment,EnglishTranslatedComment
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10275205,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_c4,12245,kendacey,11/26/2013 4:31,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,I search for Ashley Furniture and this is what I get?,I search for Ashley Furniture and this is what I get?
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10304438,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld,12227,v-anneg,10/30/2013 15:30,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId=11111111111111111111111111111111,Search,Searchcm.dll,768x1280,Cortana said The weather is really mixed for the next several days - in fact every day looks pretty much the same to me,Cortana said The weather is really mixed for the next several days - in fact every day looks pretty much the same to me
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10342299,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld,12267,nagaiton,12/20/2013 1:07,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,Music has the maps app icon,Music has the maps app icon
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10352360,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12281,kebatt,1/17/2014 4:09,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId={c1d03106-67ef-46ed-838c-d2605f0708d0}&SuggestionType=InterestId,Search,Searchcm.dll,768x1280,UI: Text cut off at end of Do not show me updates for weather in Newton,UI: Text cut off at end of Do not show me updates for weather in Newton
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10354179,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_dp_grim_dev2,12228,jegentle,11/1/2013 22:45,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,768x1280,Cortana: Searching for install Netflix performs a web search rather than opening the store to the Netflix landing page,Cortana: Searching for install Netflix performs a web search rather than opening the store to the Netflix landing page
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10367398,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp,12279,chamilt,1/16/2014 4:50,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId={5db07089-490a-4250-ac7a-8c112991bc7c}&SuggestionType=InterestId,Search,Searchcm.dll,480x800,[TopIssueParentId:175743] Outage had been going off and on more than 12 hours now,[TopIssueParentId:175743] Outage had been going off and on more than 12 hours now
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10370409,En-US,Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement,wpb_exp_realworld_wallet,12282,fil,2/6/2014 8:08,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Voice: Reminders  Calendar  Alarms  Notes,RW_Cortana_LiMa.client,480x800,Turn off the wifi - interpreted as turn of alarm,Turn off the wifi - interpreted as turn of alarm
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10383219,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_corex_store,12283,ericpapa,1/18/2014 7:18,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId={47f62099-1095-4389-8587-b256c3069399}&SuggestionType=InterestId,Search,Searchcm.dll,768x1280,Cortana shows previous Seahawks game  not next game ,Cortana shows previous Seahawks game  not next game 
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10384304,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12293,betadele,1/25/2014 0:19,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Other feedback,Websearch.exe,480x854,NASA:Cortana seems to be very bad at searching for places initially but gets better. For the user  the initial experience is paramount.,NASA:Cortana seems to be very bad at searching for places initially but gets better. For the user  the initial experience is paramount.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10394140,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld_wallet,12266,davidn,12/19/2013 7:10,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,Speech Reco starts failing consistently sometimes  until sapisvr is restarted.,Speech Reco starts failing consistently sometimes  until sapisvr is restarted.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10403744,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld_wallet,12225,autobug,10/31/2013 7:03,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,[TopIssueParentId:175028] What is the address for the bravern in bellevue..  Yielded an overview of my calendar,[TopIssueParentId:175028] What is the address for the bravern in bellevue..  Yielded an overview of my calendar
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10424674,En-US,Windows Phone Blue\CorePlat\DeviceFundamentals\Telemetry\UnknownPSMapping,WPMain,12262,melislim,12/13/2013 1:07,MessagingApp.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5610/Default,Unknown,,768x1280,False trigger I was thinking about it at the dentist today,False trigger I was thinking about it at the dentist today
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10458937,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12275,andymcg,1/17/2014 7:40,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome,Search,Searchcm.dll,480x800,Expected time in stand answer. Somehow weve regressed because Im seeing it trigger correctly on m.bing on iPhone.  ,Expected time in stand answer. Somehow weve regressed because Im seeing it trigger correctly on m.bing on iPhone.  
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10485031,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12284,shasraj,1/18/2014 4:21,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistOOBE,Search,Searchcm.dll,480x800,Set my name but I couldnt hear it when I tapped on play. Then tried to record my name and nothing happened when I tap to speak,Set my name but I couldnt hear it when I tapped on play. Then tried to record my name and nothing happened when I tap to speak
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10496152,En-US,Windows Phone Blue\Experiences\RealWorld\AssistantUI,WPMain,12311,chamilt,2/14/2014 7:14,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold,Cortana Search UI,RW_Cortana_UI.client,480x800,I said news about Windows phone Cortana,I said news about Windows phone Cortana
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10512947,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_exp_realworld,12343,jsking,3/20/2014 1:07,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,LG issue. Walk should be walks.,LG issue. Walk should be walks.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10513998,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld_wallet,12252,diegoca,11/28/2013 20:18,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,Where the schedule or web links?,Where the schedule or web links?
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings,10514453,En-US,Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,wpb_exp_realworld_wallet,12315,lstifel,3/4/2014 21:33,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Answers: Places  directions and weather,Bing_IPE_ConversationalUnderstanding.server,480x800,Saves state of read top 3 when should not--find Italian restaurants  read top3  find home depot--auto reads top3,Saves state of read top 3 when should not--find Italian restaurants  read top3  find home depot--auto reads top3
