TargetAreaPath	BugID	MarketLanguage	OriginalAreaPath	Branch	BuildNum	OpenedBy	OpenedDate	BinaryName	Uri	AppDisplay	AppName	Resolution	OriginalLanguageComment	EnglishTranslatedComment
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10275205	En-US	Windows Phone Blue\Experiences\RealWorld\Search	wpb_exp_c4	12245	kendacey	11/26/2013 4:31	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn	Search	Searchcm.dll	480x800	I search for Ashley Furniture and this is what I get?	I search for Ashley Furniture and this is what I get?
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10352360	En-US	Windows Phone Blue\Experiences\RealWorld\Search	WPMain	12281	kebatt	1/17/2014 4:09	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId={c1d03106-67ef-46ed-838c-d2605f0708d0}&SuggestionType=InterestId	Search	Searchcm.dll	768x1280	UI: Text cut off at end of Do not show me updates for weather in Newton	UI: Text cut off at end of Do not show me updates for weather in Newton
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10367398	En-US	Windows Phone Blue\Experiences\RealWorld\Search	wpb_exp	12279	chamilt	1/16/2014 4:50	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId={5db07089-490a-4250-ac7a-8c112991bc7c}&SuggestionType=InterestId	Search	Searchcm.dll	480x800	[TopIssueParentId:175743] Outage had been going off and on more than 12 hours now	[TopIssueParentId:175743] Outage had been going off and on more than 12 hours now
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10383219	En-US	Windows Phone Blue\Experiences\RealWorld\Search	wpb_exp_corex_store	12283	ericpapa	1/18/2014 7:18	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId={47f62099-1095-4389-8587-b256c3069399}&SuggestionType=InterestId	Search	Searchcm.dll	768x1280	Cortana shows previous Seahawks game  not next game 	Cortana shows previous Seahawks game  not next game 
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10394140	En-US	Windows Phone Blue\Experiences\RealWorld\Search	wpb_exp_realworld_wallet	12266	davidn	12/19/2013 7:10	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn	Search	Searchcm.dll	480x800	Speech Reco starts failing consistently sometimes  until sapisvr is restarted.	Speech Reco starts failing consistently sometimes  until sapisvr is restarted.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10403744	En-US	Windows Phone Blue\Experiences\RealWorld\Search	wpb_exp_realworld_wallet	12225	autobug	10/31/2013 7:03	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn	Search	Searchcm.dll	480x800	[TopIssueParentId:175028] What is the address for the bravern in bellevue..  Yielded an overview of my calendar	[TopIssueParentId:175028] What is the address for the bravern in bellevue..  Yielded an overview of my calendar
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10424674	En-US	Windows Phone Blue\CorePlat\DeviceFundamentals\Telemetry\UnknownPSMapping	WPMain	12262	melislim	12/13/2013 1:07	MessagingApp.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5610/Default	Unknown		768x1280	False trigger I was thinking about it at the dentist today	False trigger I was thinking about it at the dentist today
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10458937	En-US	Windows Phone Blue\Experiences\RealWorld\Search	WPMain	12275	andymcg	1/17/2014 7:40	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome	Search	Searchcm.dll	480x800	Expected time in stand answer. Somehow weve regressed because Im seeing it trigger correctly on m.bing on iPhone.  	Expected time in stand answer. Somehow weve regressed because Im seeing it trigger correctly on m.bing on iPhone.  
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10464326	Zh-CN	Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU	wpb_cxe_r1_exp_dev3	14082	tazhan	4/29/2014 7:06	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold	Cortana Answers: Places  directions and weather	Bing_IPE_ConversationalUnderstanding.server	480x800	Nice. 问：今天空气怎么样？回答：空气质量。	Nice. Q: how about air today? Answer: air quality.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10493702	Zh-CN	Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU	wpb_exp_realworld_fb4	12324	yipeng	3/10/2014 7:03	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn	Cortana Answers: Places  directions and weather	Bing_IPE_ConversationalUnderstanding.server	480x800	找到答案还会说无法回答	Find the answer Will say unable to answer
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10494733	Zh-CN	Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU	wpb_exp_realworld_fb4	12296	poleli	2/7/2014 15:17	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile	Cortana Answers: Places  directions and weather	Bing_IPE_ConversationalUnderstanding.server	480x800	希望以我当前位置为起点，找到最近的地铁入口	Based on my current location As a starting point to find the nearest subway entrance
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10496152	En-US	Windows Phone Blue\Experiences\RealWorld\AssistantUI	WPMain	12311	chamilt	2/14/2014 7:14	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold	Cortana Search UI	RW_Cortana_UI.client	480x800	I said news about Windows phone Cortana	I said news about Windows phone Cortana
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10497229	Zh-CN	Windows Phone Blue\Experiences\RealWorld\VoiceFramework	wpb_exp_realworld_fb4	12324	yupe	3/14/2014 10:48	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn	Cortana Voice: Calling  Texting  Open app	RW_Cortana_Speech.client	480x800	[TopIssueParentId:254879] 联系人列表 无法显示出来	[TopIssueParentId:254879] Contact list Unable to Display
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10509822	Zh-CN	Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement	wpb_cxe_r1_exp_dev3	14082	helei	4/28/2014 10:51	WebSearch.exe	app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn	Cortana Voice: Reminders  Calendar  Alarms  Notes	RW_Cortana_LiMa.client	480x800	Ask C 明天的会议安排，C doesnt answer correct to list my calendar item if tomorrow  but try to set a new item for me.	Ask c tomorrow on the arrangement,c doesnt answer correct to list my calendar item if tomorrow but try to set a new item for me.
Windows Phone Blue\Experiences\RealWorld\Persona\Greetings	10557796	En-US	Windows Phone Blue\Experiences\RealWorld\Search	wpb_exp_realworld_wallet	12271	litac	12/31/2013 0:00	AgHost.exe	app://1EACB250-C319-4CD1-8E86-63230F2481BA/_default#/Protocol?encodedLaunchUri=xboxmusic%3A%2F%2FMeUx%2F_PlayLocalMusic%3Fzmi%3D0x1000035&sourceAppIdentifier=5B04B775-356B-4AA0-AAF8-6491FFEA5661_0000000000000!WP	Search	Searchcm.dll	480x800	Black screen when tapped on a music result from device search result	Black screen when tapped on a music result from device search result
