TargetAreaPath,BugID,MarketLanguage,OriginalAreaPath,Branch,BuildNum,OpenedBy,OpenedDate,BinaryName,Uri,AppDisplay,AppName,Resolution,OriginalLanguageComment,EnglishTranslatedComment
Windows Phone Blue\Experiences_DevPartners\Bing\CU,10304438,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld,12227,v-anneg,10/30/2013 15:30,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Proactive&SuggestionId=11111111111111111111111111111111,Search,Searchcm.dll,768x1280,Cortana said The weather is really mixed for the next several days - in fact every day looks pretty much the same to me,Cortana said The weather is really mixed for the next several days - in fact every day looks pretty much the same to me
Windows Phone Blue\Experiences\RealWorld\Search,10342299,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld,12267,nagaiton,12/20/2013 1:07,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,480x800,Music has the maps app icon,Music has the maps app icon
Windows Phone Blue\Experiences\RealWorld\Search\DeviceSearch,10354179,En-US,Windows Phone Blue\Experiences\RealWorld\Search,wpb_dp_grim_dev2,12228,jegentle,11/1/2013 22:45,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA5661/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Search,Searchcm.dll,768x1280,Cortana: Searching for install Netflix performs a web search rather than opening the store to the Netflix landing page,Cortana: Searching for install Netflix performs a web search rather than opening the store to the Netflix landing page
Windows Phone Blue\Experiences_DevPartners\Bing\CU\SR,10370409,En-US,Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement,wpb_exp_realworld_wallet,12282,fil,2/6/2014 8:08,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Voice: Reminders  Calendar  Alarms  Notes,RW_Cortana_LiMa.client,480x800,Turn off the wifi - interpreted as turn of alarm,Turn off the wifi - interpreted as turn of alarm
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10370621,Zh-CN,Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement,wpb_exp_realworld_fb4,12296,poleli,2/7/2014 16:04,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile,Cortana Voice: Reminders  Calendar  Alarms  Notes,RW_Cortana_LiMa.client,480x800,问今天吃点什么，不是查询今天活动,Asking what to eat tonight_ not a query event
Windows Phone Blue\Experiences\RealWorld\Search,10384304,En-US,Windows Phone Blue\Experiences\RealWorld\Search,WPMain,12293,betadele,1/25/2014 0:19,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Other feedback,Websearch.exe,480x854,NASA:Cortana seems to be very bad at searching for places initially but gets better. For the user  the initial experience is paramount.,NASA:Cortana seems to be very bad at searching for places initially but gets better. For the user  the initial experience is paramount.
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LG,10405775,Zh-CN,Windows Phone Blue\Experiences\RealWorld\Search,wpb_exp_realworld_fb4,12290,xwang,1/27/2014 4:19,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Proactive&QuerySource=LiveTile,Search,WebSearch.exe,480x800,Answer contains unnesscary english phrase. 回答的英文部分很奇怪,Answer contains unnesscary english phrase. Answering the Chinese portion of the strange
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10410596,Zh-CN,Windows Phone Blue\Experiences\RealWorld\VoiceAgents\LifeManagement,wpb_exp_realworld_fb4,12324,xindon,3/15/2014 16:03,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?StartMode=Search&QuerySource=HardwareBtn,Cortana Voice: Reminders  Calendar  Alarms  Notes,RW_Cortana_LiMa.client,480x800,#012 Query：明天是星期几 Expect：告诉我结果 Actual：提醒,#012 Query: tomorrow is the day of the week Expect: will tell me the result of Actual: remind
Windows Phone Blue\Experiences_DevPartners\Bing\CU\LU,10418714,Zh-CN,Windows Phone Blue\Experiences_DevPartners\Bing\HOSE\SERP,wpb_cxe_r1_exp_dev3,14077,criuswu,4/22/2014 14:17,WebSearch.exe,app://5B04B775-356B-4AA0-AAF8-6491FFEA568C/AssistHome?QuerySource=HardwareBtnHold,Cortana Basic search relevance,Bing_HOSE.server,480x800,Keyword is 淘宝,Keyword is Taobao
Windows Phone Blue\Experiences_DevPartners\Bing\CU\SR,10425050,Zh-CN,Windows Phone Blue\Experiences\RealWorld\VoiceFramework,wpb_cxe_r1_exp_dev3,14082,xiaxu,4/27/2014 0:48,BinaryMissing.exe,,Cortana Voice: Calling  Texting  Open app,RW_Cortana_Speech.client,480x800,打电话，查找联系人时喊吆吧儿一直识别错,Phone: shout shout has been recognized the wrong when looking for contacts
